task_id,plane_work_item_id,plane_issue_id,plane_project_id,project_key,title,description,task_type,required_stack,required_skills,complexity,priority,business_criticality,deadline_days,estimated_hours,dependencies_count,is_growth_task,source,created_at,updated_at
TASK-0001,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить endpoint для статистики команды — интеграции с Plane,"Реализовать backend endpoint, который возвращает агрегированную статистику по задачам и загрузке команды. Контекст задачи: permissions.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",4,medium,3,30,33,8,False,synthetic,2025-06-04T00:00:00,2025-06-22T00:00:00
TASK-0002,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить healthcheck для COMPASS API — интеграции с Plane,Настроить endpoint и проверку доступности backend-сервиса. Контекст задачи: recommendation engine.,devops_task,"[""Docker""]","{""CI/CD"": 3, ""Docker"": 4, ""Monitoring"": 3, ""Security"": 2}",3,low,2,11,40,6,False,synthetic,2026-05-08T00:00:00,2026-05-24T00:00:00
TASK-0003,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Исправить падение API при пустом описании задачи — модуля авторизации,Добавить корректную обработку задач без description и покрыть сценарий тестом. Контекст задачи: billing.,bugfix,[],"{""API Design"": 2, ""Monitoring"": 2, ""Testing"": 3}",1,medium,1,19,16,1,False,synthetic,2026-04-11T00:00:00,2026-05-01T00:00:00
TASK-0004,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Проверить отсутствие секретов в логах — экспорта данных,"Убедиться, что API tokens и .env значения не печатаются в stdout и reports. Контекст задачи: billing.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",5,high,5,22,41,2,False,synthetic,2023-09-16T00:00:00,2023-09-18T00:00:00
TASK-0005,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить фильтрацию задач по статусу — модуля командной загрузки,"Расширить API задач фильтрами по статусу, приоритету и исполнителю. Контекст задачи: reporting.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",2,high,4,43,19,5,False,synthetic,2025-06-07T00:00:00,2025-06-08T00:00:00
TASK-0006,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Реализовать baseline для сравнения с нейросетью — аналитического dashboard,"Собрать rule-based ranking, чтобы сравнивать ML-модель с понятной эвристикой. Контекст задачи: data export.",ml_pipeline,"[""Python"", ""PyTorch""]","{""Data Analysis"": 3, ""Machine Learning"": 3, ""PyTorch"": 3, ""Python"": 4, ""data_pipelines"": 3}",5,high,5,10,41,8,False,synthetic,2025-05-19T00:00:00,2025-06-02T00:00:00
TASK-0007,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Починить ошибку при смене assignee — аналитического dashboard,"Исправить сценарий, при котором задача может потерять исполнителя после обновления статуса. Контекст задачи: billing.",bugfix,[],"{""API Design"": 2, ""Monitoring"": 2, ""Testing"": 3}",2,none,1,46,20,7,True,synthetic,2024-11-27T00:00:00,2024-12-09T00:00:00
TASK-0008,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Реализовать JWT-авторизацию — пайплайна рекомендаций,"Добавить login endpoint, refresh token flow, logout сценарий и защиту приватных endpoint-ов. Контекст задачи: permissions.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",2,high,4,60,31,6,False,synthetic,2024-11-01T00:00:00,2024-11-13T00:00:00
TASK-0009,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Починить некорректный расчёт дедлайна — пайплайна рекомендаций,Исправить расчёт deadline_days для задач без target date и задач с просроченным сроком. Контекст задачи: analytics.,bugfix,[],"{""API Design"": 2, ""Monitoring"": 2, ""Testing"": 3}",3,urgent,3,20,15,3,False,synthetic,2025-02-24T00:00:00,2025-03-08T00:00:00
TASK-0010,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Добавить график распределения workload — аналитического dashboard,Построить график текущей загрузки команды и выделить перегруженных сотрудников. Контекст задачи: auth.,analytics_report,"[""PostgreSQL"", ""Python""]","{""Data Analysis"": 3, ""PostgreSQL"": 2, ""Python"": 2, ""documentation"": 2}",4,high,5,56,30,5,True,synthetic,2024-06-23T00:00:00,2024-06-30T00:00:00
