task_id,title,description,project_id,task_type,status,priority,complexity,estimated_hours,deadline_days,required_skills,dependencies,created_at,due_at,custom_features
task_000001,Documentation #0001 for project_001 [developers],"Generated documentation task with high priority, complexity 4.759, and required skills: docker, javascript.",project_001,documentation,todo,high,4.759,12.07,12,"[""docker"", ""javascript""]",[],2026-06-22T12:37:20.133874+00:00,2026-07-04T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000003,Infra #0003 for project_003 [developers],"Generated infra task with medium priority, complexity 8.731, and required skills: fastapi.",project_003,infra,todo,medium,8.731,17.649,35,"[""fastapi""]",[],2026-07-05T12:37:20.133874+00:00,2026-08-09T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000008,Infra #0008 for project_004 [developers],"Generated infra task with medium priority, complexity 5.836, and required skills: api_design, ml, python, typescript.",project_004,infra,todo,medium,5.836,69.166,14,"[""api_design"", ""ml"", ""python"", ""typescript""]",[],2026-06-22T12:37:20.133874+00:00,2026-07-06T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000011,Refactor #0011 for project_002 [developers],"Generated refactor task with high priority, complexity 3.332, and required skills: ci_cd, ml, testing.",project_002,refactor,todo,high,3.332,69.073,42,"[""ci_cd"", ""ml"", ""testing""]","[""task_000008""]",2026-06-10T12:37:20.133874+00:00,2026-07-22T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000015,Review #0015 for project_002 [developers],"Generated review task with medium priority, complexity 3.05, and required skills: ml.",project_002,review,todo,medium,3.05,2.05,14,"[""ml""]",[],2026-07-06T12:37:20.133874+00:00,2026-07-20T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000017,Bugfix #0017 for project_005 [developers],"Generated bugfix task with critical priority, complexity 8.2, and required skills: ci_cd, javascript, ml, testing.",project_005,bugfix,todo,critical,8.2,66.365,32,"[""ci_cd"", ""javascript"", ""ml"", ""testing""]",[],2026-06-17T12:37:20.133874+00:00,2026-07-19T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000019,Documentation #0019 for project_001 [developers],"Generated documentation task with high priority, complexity 3.624, and required skills: ci_cd, debugging, docker, sql.",project_001,documentation,todo,high,3.624,50.906,8,"[""ci_cd"", ""debugging"", ""docker"", ""sql""]",[],2026-06-21T12:37:20.133874+00:00,2026-06-29T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000025,Documentation #0025 for project_005 [developers],"Generated documentation task with high priority, complexity 4.724, and required skills: testing.",project_005,documentation,todo,high,4.724,29.856,5,"[""testing""]",[],2026-07-01T12:37:20.133874+00:00,2026-07-06T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000026,Bugfix #0026 for project_001 [developers],"Generated bugfix task with critical priority, complexity 9.863, and required skills: testing.",project_001,bugfix,todo,critical,9.863,24.772,33,"[""testing""]",[],2026-06-17T12:37:20.133874+00:00,2026-07-20T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000028,Documentation #0028 for project_005 [developers],"Generated documentation task with medium priority, complexity 4.244, and required skills: data_processing.",project_005,documentation,todo,medium,4.244,75.66,32,"[""data_processing""]",[],2026-07-01T12:37:20.133874+00:00,2026-08-02T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000031,Infra #0031 for project_002 [developers],"Generated infra task with low priority, complexity 1.746, and required skills: ci_cd, docker, fastapi, postgresql.",project_002,infra,todo,low,1.746,51.048,27,"[""ci_cd"", ""docker"", ""fastapi"", ""postgresql""]",[],2026-06-14T12:37:20.133874+00:00,2026-07-11T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000032,Review #0032 for project_002 [developers],"Generated review task with medium priority, complexity 9.462, and required skills: ci_cd, ml, react.",project_002,review,todo,medium,9.462,30.899,1,"[""ci_cd"", ""ml"", ""react""]",[],2026-07-06T12:37:20.133874+00:00,2026-07-07T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000033,Refactor #0033 for project_005 [developers],"Generated refactor task with medium priority, complexity 9.585, and required skills: ambiguous_requirement, data_processing, testing.",project_005,refactor,todo,medium,9.585,27.148,39,"[""ambiguous_requirement"", ""data_processing"", ""testing""]",[],2026-06-26T12:37:20.133874+00:00,2026-08-04T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000034,Test #0034 for project_001 [developers],"Generated test task with low priority, complexity 6.011, and required skills: fastapi, python, react, testing.",project_001,test,todo,low,6.011,5.28,20,"[""fastapi"", ""python"", ""react"", ""testing""]",[],2026-06-26T12:37:20.133874+00:00,2026-07-16T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000036,Refactor #0036 for project_003 [developers],"Generated refactor task with high priority, complexity 8.173, and required skills: api_design, javascript.",project_003,refactor,todo,high,8.173,4.47,34,"[""api_design"", ""javascript""]","[""task_000024""]",2026-06-22T12:37:20.133874+00:00,2026-07-26T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000038,Test #0038 for project_005 [developers],"Generated test task with high priority, complexity 4.54, and required skills: ci_cd, python, typescript.",project_005,test,todo,high,4.54,9.984,2,"[""ci_cd"", ""python"", ""typescript""]",[],2026-06-25T12:37:20.133874+00:00,2026-06-27T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000043,Feature #0043 for project_004 [developers],"Generated feature task with high priority, complexity 2.706, and required skills: debugging.",project_004,feature,todo,high,2.706,6.592,14,"[""debugging""]",[],2026-06-21T12:37:20.133874+00:00,2026-07-05T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000044,Research #0044 for project_004 [developers],"Generated research task with medium priority, complexity 5.879, and required skills: react, sql.",project_004,research,todo,medium,5.879,79.992,33,"[""react"", ""sql""]",[],2026-06-24T12:37:20.133874+00:00,2026-07-27T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000047,Refactor #0047 for project_005 [developers],"Generated refactor task with high priority, complexity 5.012, and required skills: debugging, docker, postgresql, react.",project_005,refactor,todo,high,5.012,39.104,8,"[""debugging"", ""docker"", ""postgresql"", ""react""]",[],2026-06-21T12:37:20.133874+00:00,2026-06-29T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000048,Test #0048 for project_002 [developers],"Generated test task with critical priority, complexity 3.789, and required skills: api_design, python, react, sql.",project_002,test,todo,critical,3.789,76.391,31,"[""api_design"", ""python"", ""react"", ""sql""]",[],2026-06-30T12:37:20.133874+00:00,2026-07-31T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000051,Bugfix #0051 for project_001 [developers],"Generated bugfix task with low priority, complexity 3.002, and required skills: javascript, ml, react, testing.",project_001,bugfix,todo,low,3.002,38.183,7,"[""javascript"", ""ml"", ""react"", ""testing""]",[],2026-07-04T12:37:20.133874+00:00,2026-07-11T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000052,Review #0052 for project_005 [developers],"Generated review task with medium priority, complexity 1.795, and required skills: data_processing, docker, fastapi, testing.",project_005,review,todo,medium,1.795,24.965,45,"[""data_processing"", ""docker"", ""fastapi"", ""testing""]",[],2026-07-03T12:37:20.133874+00:00,2026-08-17T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000056,Review #0056 for project_005 [developers],"Generated review task with medium priority, complexity 3.581, and required skills: docker, python, react, typescript.",project_005,review,todo,medium,3.581,44.821,23,"[""docker"", ""python"", ""react"", ""typescript""]",[],2026-06-09T12:37:20.133874+00:00,2026-07-02T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000057,Documentation #0057 for project_005 [developers],"Generated documentation task with high priority, complexity 6.432, and required skills: docker, postgresql, react.",project_005,documentation,todo,high,6.432,69.667,5,"[""docker"", ""postgresql"", ""react""]",[],2026-06-25T12:37:20.133874+00:00,2026-06-30T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000061,Refactor #0061 for project_001 [developers],"Generated refactor task with critical priority, complexity 5.203, and required skills: ci_cd, fastapi, postgresql.",project_001,refactor,todo,critical,5.203,3.594,30,"[""ci_cd"", ""fastapi"", ""postgresql""]",[],2026-06-25T12:37:20.133874+00:00,2026-07-25T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000063,Refactor #0063 for project_004 [developers],"Generated refactor task with medium priority, complexity 1.229, and required skills: python.",project_004,refactor,todo,medium,1.229,59.555,9,"[""python""]",[],2026-06-18T12:37:20.133874+00:00,2026-06-27T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000064,Feature #0064 for project_005 [developers],"Generated feature task with low priority, complexity 2.051, and required skills: fastapi.",project_005,feature,todo,low,2.051,56.866,34,"[""fastapi""]","[""task_000040""]",2026-06-30T12:37:20.133874+00:00,2026-08-03T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000065,Feature #0065 for project_002 [developers],"Generated feature task with low priority, complexity 5.361, and required skills: ml.",project_002,feature,todo,low,5.361,60.874,41,"[""ml""]",[],2026-06-24T12:37:20.133874+00:00,2026-08-04T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000066,Research #0066 for project_001 [developers],"Generated research task with low priority, complexity 2.087, and required skills: ambiguous_requirement, docker, javascript, python, react.",project_001,research,todo,low,2.087,66.082,31,"[""ambiguous_requirement"", ""docker"", ""javascript"", ""python"", ""react""]",[],2026-06-14T12:37:20.133874+00:00,2026-07-15T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000068,Research #0068 for project_005 [developers],"Generated research task with low priority, complexity 9.546, and required skills: docker, postgresql, python, react.",project_005,research,todo,low,9.546,55.837,3,"[""docker"", ""postgresql"", ""python"", ""react""]",[],2026-06-11T12:37:20.133874+00:00,2026-06-14T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000070,Refactor #0070 for project_004 [developers],"Generated refactor task with high priority, complexity 3.507, and required skills: debugging, ml.",project_004,refactor,todo,high,3.507,43.376,7,"[""debugging"", ""ml""]",[],2026-06-21T12:37:20.133874+00:00,2026-06-28T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000073,Review #0073 for project_003 [developers],"Generated review task with low priority, complexity 5.776, and required skills: debugging, typescript.",project_003,review,todo,low,5.776,44.179,28,"[""debugging"", ""typescript""]",[],2026-06-09T12:37:20.133874+00:00,2026-07-07T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000074,Infra #0074 for project_003 [developers],"Generated infra task with low priority, complexity 1.992, and required skills: api_design, fastapi, python.",project_003,infra,todo,low,1.992,35.326,14,"[""api_design"", ""fastapi"", ""python""]",[],2026-06-23T12:37:20.133874+00:00,2026-07-07T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000075,Bugfix #0075 for project_002 [developers],"Generated bugfix task with low priority, complexity 1.555, and required skills: testing.",project_002,bugfix,todo,low,1.555,75.454,16,"[""testing""]",[],2026-06-15T12:37:20.133874+00:00,2026-07-01T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000076,Documentation #0076 for project_001 [developers],"Generated documentation task with low priority, complexity 5.998, and required skills: postgresql, python, react, sql.",project_001,documentation,todo,low,5.998,48.56,38,"[""postgresql"", ""python"", ""react"", ""sql""]",[],2026-06-18T12:37:20.133874+00:00,2026-07-26T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000081,Refactor #0081 for project_005 [developers],"Generated refactor task with high priority, complexity 3.074, and required skills: debugging, testing.",project_005,refactor,todo,high,3.074,17.393,18,"[""debugging"", ""testing""]",[],2026-06-25T12:37:20.133874+00:00,2026-07-13T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000083,Test #0083 for project_002 [developers],"Generated test task with high priority, complexity 8.911, and required skills: api_design, external_vendor_dependency, javascript, sql.",project_002,test,todo,high,8.911,32.684,41,"[""api_design"", ""external_vendor_dependency"", ""javascript"", ""sql""]",[],2026-06-16T12:37:20.133874+00:00,2026-07-27T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000087,Feature #0087 for project_001 [developers],"Generated feature task with high priority, complexity 2.971, and required skills: debugging, postgresql, sql.",project_001,feature,todo,high,2.971,2.873,13,"[""debugging"", ""postgresql"", ""sql""]","[""task_000009"", ""task_000019"", ""task_000048""]",2026-06-10T12:37:20.133874+00:00,2026-06-23T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000088,Documentation #0088 for project_003 [developers],"Generated documentation task with medium priority, complexity 7.547, and required skills: javascript, react, typescript.",project_003,documentation,todo,medium,7.547,6.3,15,"[""javascript"", ""react"", ""typescript""]","[""task_000004"", ""task_000057""]",2026-06-12T12:37:20.133874+00:00,2026-06-27T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000096,Refactor #0096 for project_002 [developers],"Generated refactor task with medium priority, complexity 3.439, and required skills: fastapi, python, sql, typescript.",project_002,refactor,todo,medium,3.439,64.702,18,"[""fastapi"", ""python"", ""sql"", ""typescript""]",[],2026-06-29T12:37:20.133874+00:00,2026-07-17T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000098,Feature #0098 for project_003 [developers],"Generated feature task with medium priority, complexity 8.469, and required skills: data_processing, fastapi, postgresql, typescript.",project_003,feature,todo,medium,8.469,37.803,32,"[""data_processing"", ""fastapi"", ""postgresql"", ""typescript""]",[],2026-06-10T12:37:20.133874+00:00,2026-07-12T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000099,Documentation #0099 for project_002 [developers],"Generated documentation task with medium priority, complexity 4.98, and required skills: debugging.",project_002,documentation,todo,medium,4.98,72.1,6,"[""debugging""]",[],2026-06-12T12:37:20.133874+00:00,2026-06-18T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000100,Documentation #0100 for project_004 [developers],"Generated documentation task with low priority, complexity 3.554, and required skills: api_design, ci_cd, ml, react.",project_004,documentation,todo,low,3.554,77.456,23,"[""api_design"", ""ci_cd"", ""ml"", ""react""]",[],2026-06-15T12:37:20.133874+00:00,2026-07-08T12:37:20.133874+00:00,"{""requires_mentor"": false}"
