task_id,title,description,project_id,task_type,status,priority,complexity,estimated_hours,deadline_days,required_skills,dependencies,created_at,due_at,custom_features
task_000001,Documentation #0001 for project_001 [developers],"Generated documentation task with high priority, complexity 4.759, and required skills: docker, javascript.",project_001,documentation,todo,high,4.759,12.07,12,"[""docker"", ""javascript""]",[],2026-06-22T12:37:20.133874+00:00,2026-07-04T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000002,Review #0002 for project_005 [developers],"Generated review task with medium priority, complexity 6.903, and required skills: fastapi, react, sql, typescript.",project_005,review,review,medium,6.903,62.214,22,"[""fastapi"", ""react"", ""sql"", ""typescript""]",[],2026-07-06T12:37:20.133874+00:00,2026-07-28T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000003,Infra #0003 for project_003 [developers],"Generated infra task with medium priority, complexity 8.731, and required skills: fastapi.",project_003,infra,todo,medium,8.731,17.649,35,"[""fastapi""]",[],2026-07-05T12:37:20.133874+00:00,2026-08-09T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000004,Infra #0004 for project_003 [developers],"Generated infra task with medium priority, complexity 3.567, and required skills: react.",project_003,infra,review,medium,3.567,46.247,26,"[""react""]","[""task_000003""]",2026-06-25T12:37:20.133874+00:00,2026-07-21T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000005,Refactor #0005 for project_001 [developers],"Generated refactor task with medium priority, complexity 8.086, and required skills: api_design.",project_001,refactor,review,medium,8.086,42.587,6,"[""api_design""]",[],2026-06-15T12:37:20.133874+00:00,2026-06-21T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000006,Test #0006 for project_001 [developers],"Generated test task with medium priority, complexity 5.412, and required skills: api_design, ci_cd, ml, sql.",project_001,test,in_progress,medium,5.412,64.822,5,"[""api_design"", ""ci_cd"", ""ml"", ""sql""]",[],2026-06-16T12:37:20.133874+00:00,2026-06-21T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000007,Infra #0007 for project_001 [developers],"Generated infra task with medium priority, complexity 4.835, and required skills: react.",project_001,infra,done,medium,4.835,10.216,30,"[""react""]",[],2026-07-07T12:37:20.133874+00:00,2026-08-06T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000008,Infra #0008 for project_004 [developers],"Generated infra task with medium priority, complexity 5.836, and required skills: api_design, ml, python, typescript.",project_004,infra,todo,medium,5.836,69.166,14,"[""api_design"", ""ml"", ""python"", ""typescript""]",[],2026-06-22T12:37:20.133874+00:00,2026-07-06T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000009,Bugfix #0009 for project_002 [developers],"Generated bugfix task with medium priority, complexity 8.863, and required skills: debugging, sql, typescript.",project_002,bugfix,in_progress,medium,8.863,65.542,8,"[""debugging"", ""sql"", ""typescript""]",[],2026-07-07T12:37:20.133874+00:00,2026-07-15T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000010,Documentation #0010 for project_005 [developers],"Generated documentation task with high priority, complexity 5.5, and required skills: debugging, postgresql, testing.",project_005,documentation,review,high,5.5,55.894,8,"[""debugging"", ""postgresql"", ""testing""]",[],2026-06-21T12:37:20.133874+00:00,2026-06-29T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000011,Refactor #0011 for project_002 [developers],"Generated refactor task with high priority, complexity 3.332, and required skills: ci_cd, ml, testing.",project_002,refactor,todo,high,3.332,69.073,42,"[""ci_cd"", ""ml"", ""testing""]","[""task_000008""]",2026-06-10T12:37:20.133874+00:00,2026-07-22T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000012,Research #0012 for project_003 [developers],"Generated research task with medium priority, complexity 2.2, and required skills: react.",project_003,research,in_progress,medium,2.2,37.783,32,"[""react""]",[],2026-06-28T12:37:20.133874+00:00,2026-07-30T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000013,Bugfix #0013 for project_004 [developers],"Generated bugfix task with low priority, complexity 3.313, and required skills: ci_cd, data_processing, python, sql.",project_004,bugfix,in_progress,low,3.313,31.953,23,"[""ci_cd"", ""data_processing"", ""python"", ""sql""]",[],2026-07-05T12:37:20.133874+00:00,2026-07-28T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000014,Review #0014 for project_002 [developers],"Generated review task with medium priority, complexity 9.186, and required skills: testing.",project_002,review,in_progress,medium,9.186,31.879,37,"[""testing""]",[],2026-06-17T12:37:20.133874+00:00,2026-07-24T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000015,Review #0015 for project_002 [developers],"Generated review task with medium priority, complexity 3.05, and required skills: ml.",project_002,review,todo,medium,3.05,2.05,14,"[""ml""]",[],2026-07-06T12:37:20.133874+00:00,2026-07-20T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000016,Infra #0016 for project_001 [developers],"Generated infra task with medium priority, complexity 7.778, and required skills: postgresql.",project_001,infra,blocked,medium,7.778,11.139,6,"[""postgresql""]",[],2026-07-08T12:37:20.133874+00:00,2026-07-14T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000017,Bugfix #0017 for project_005 [developers],"Generated bugfix task with critical priority, complexity 8.2, and required skills: ci_cd, javascript, ml, testing.",project_005,bugfix,todo,critical,8.2,66.365,32,"[""ci_cd"", ""javascript"", ""ml"", ""testing""]",[],2026-06-17T12:37:20.133874+00:00,2026-07-19T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000018,Bugfix #0018 for project_004 [developers],"Generated bugfix task with medium priority, complexity 3.48, and required skills: javascript.",project_004,bugfix,review,medium,3.48,20.328,40,"[""javascript""]",[],2026-07-08T12:37:20.133874+00:00,2026-08-17T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000019,Documentation #0019 for project_001 [developers],"Generated documentation task with high priority, complexity 3.624, and required skills: ci_cd, debugging, docker, sql.",project_001,documentation,todo,high,3.624,50.906,8,"[""ci_cd"", ""debugging"", ""docker"", ""sql""]",[],2026-06-21T12:37:20.133874+00:00,2026-06-29T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000020,Feature #0020 for project_003 [developers],"Generated feature task with low priority, complexity 2.126, and required skills: data_processing, sql.",project_003,feature,in_progress,low,2.126,75.163,19,"[""data_processing"", ""sql""]",[],2026-06-13T12:37:20.133874+00:00,2026-07-02T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000021,Refactor #0021 for project_004 [developers],"Generated refactor task with medium priority, complexity 4.46, and required skills: ci_cd, data_processing, debugging, sql.",project_004,refactor,review,medium,4.46,75.494,9,"[""ci_cd"", ""data_processing"", ""debugging"", ""sql""]",[],2026-06-13T12:37:20.133874+00:00,2026-06-22T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000022,Documentation #0022 for project_001 [developers],"Generated documentation task with medium priority, complexity 2.922, and required skills: debugging, fastapi, react.",project_001,documentation,failed,medium,2.922,79.295,18,"[""debugging"", ""fastapi"", ""react""]",[],2026-06-19T12:37:20.133874+00:00,2026-07-07T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000023,Documentation #0023 for project_003 [developers],"Generated documentation task with low priority, complexity 1.145, and required skills: postgresql, typescript.",project_003,documentation,failed,low,1.145,27.957,32,"[""postgresql"", ""typescript""]",[],2026-07-05T12:37:20.133874+00:00,2026-08-06T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000024,Feature #0024 for project_004 [developers],"Generated feature task with critical priority, complexity 3.803, and required skills: fastapi, react.",project_004,feature,failed,critical,3.803,69.928,21,"[""fastapi"", ""react""]",[],2026-07-07T12:37:20.133874+00:00,2026-07-28T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000025,Documentation #0025 for project_005 [developers],"Generated documentation task with high priority, complexity 4.724, and required skills: testing.",project_005,documentation,todo,high,4.724,29.856,5,"[""testing""]",[],2026-07-01T12:37:20.133874+00:00,2026-07-06T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000026,Bugfix #0026 for project_001 [developers],"Generated bugfix task with critical priority, complexity 9.863, and required skills: testing.",project_001,bugfix,todo,critical,9.863,24.772,33,"[""testing""]",[],2026-06-17T12:37:20.133874+00:00,2026-07-20T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000027,Refactor #0027 for project_002 [developers],"Generated refactor task with medium priority, complexity 2.941, and required skills: api_design, data_processing, python, testing.",project_002,refactor,done,medium,2.941,30.379,19,"[""api_design"", ""data_processing"", ""python"", ""testing""]","[""task_000009"", ""task_000011""]",2026-07-02T12:37:20.133874+00:00,2026-07-21T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000028,Documentation #0028 for project_005 [developers],"Generated documentation task with medium priority, complexity 4.244, and required skills: data_processing.",project_005,documentation,todo,medium,4.244,75.66,32,"[""data_processing""]",[],2026-07-01T12:37:20.133874+00:00,2026-08-02T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000029,Research #0029 for project_005 [developers],"Generated research task with high priority, complexity 7.653, and required skills: docker.",project_005,research,done,high,7.653,48.834,11,"[""docker""]",[],2026-06-23T12:37:20.133874+00:00,2026-07-04T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000030,Research #0030 for project_004 [developers],"Generated research task with critical priority, complexity 5.427, and required skills: api_design, docker, ml, react.",project_004,research,done,critical,5.427,56.494,8,"[""api_design"", ""docker"", ""ml"", ""react""]",[],2026-06-23T12:37:20.133874+00:00,2026-07-01T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000031,Infra #0031 for project_002 [developers],"Generated infra task with low priority, complexity 1.746, and required skills: ci_cd, docker, fastapi, postgresql.",project_002,infra,todo,low,1.746,51.048,27,"[""ci_cd"", ""docker"", ""fastapi"", ""postgresql""]",[],2026-06-14T12:37:20.133874+00:00,2026-07-11T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000032,Review #0032 for project_002 [developers],"Generated review task with medium priority, complexity 9.462, and required skills: ci_cd, ml, react.",project_002,review,todo,medium,9.462,30.899,1,"[""ci_cd"", ""ml"", ""react""]",[],2026-07-06T12:37:20.133874+00:00,2026-07-07T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000033,Refactor #0033 for project_005 [developers],"Generated refactor task with medium priority, complexity 9.585, and required skills: ambiguous_requirement, data_processing, testing.",project_005,refactor,todo,medium,9.585,27.148,39,"[""ambiguous_requirement"", ""data_processing"", ""testing""]",[],2026-06-26T12:37:20.133874+00:00,2026-08-04T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000034,Test #0034 for project_001 [developers],"Generated test task with low priority, complexity 6.011, and required skills: fastapi, python, react, testing.",project_001,test,todo,low,6.011,5.28,20,"[""fastapi"", ""python"", ""react"", ""testing""]",[],2026-06-26T12:37:20.133874+00:00,2026-07-16T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000035,Test #0035 for project_005 [developers],"Generated test task with medium priority, complexity 7.105, and required skills: ci_cd, javascript, ml.",project_005,test,in_progress,medium,7.105,1.988,21,"[""ci_cd"", ""javascript"", ""ml""]","[""task_000006""]",2026-06-13T12:37:20.133874+00:00,2026-07-04T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000036,Refactor #0036 for project_003 [developers],"Generated refactor task with high priority, complexity 8.173, and required skills: api_design, javascript.",project_003,refactor,todo,high,8.173,4.47,34,"[""api_design"", ""javascript""]","[""task_000024""]",2026-06-22T12:37:20.133874+00:00,2026-07-26T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000037,Infra #0037 for project_002 [developers],"Generated infra task with medium priority, complexity 9.767, and required skills: javascript, react, sql, typescript.",project_002,infra,done,medium,9.767,78.215,21,"[""javascript"", ""react"", ""sql"", ""typescript""]",[],2026-06-08T12:37:20.133874+00:00,2026-06-29T12:37:20.133874+00:00,"{""requires_mentor"": true}"
